packet_seq_no,packet_delay_in_secs,flow_id,label
29,15.429122,5,with_qdisc
30,15.531063,1,with_qdisc
30,15.636931,4,with_qdisc
30,15.74407,3,with_qdisc
30,15.85153,2,with_qdisc
30,15.964223,5,with_qdisc
31,16.053571,1,with_qdisc
31,16.15906,4,with_qdisc
31,16.273904,3,with_qdisc
31,16.415221,2,with_qdisc
31,16.479162,5,with_qdisc
32,16.575236,1,with_qdisc
32,16.696939,4,with_qdisc
32,16.792078,3,with_qdisc
32,16.911336,2,with_qdisc
32,17.001583,5,with_qdisc
33,17.097928,1,with_qdisc
33,17.225679,4,with_qdisc
33,17.311424,3,with_qdisc
33,17.438094,2,with_qdisc
33,17.530687,5,with_qdisc
34,17.622548,1,with_qdisc
34,17.728815,4,with_qdisc
34,17.835859,3,with_qdisc
34,17.942323,2,with_qdisc
34,18.048968,5,with_qdisc
35,18.148812,1,with_qdisc
35,18.295451,4,with_qdisc
35,18.356488,3,with_qdisc
35,18.472168,2,with_qdisc
35,18.570042,5,with_qdisc
36,18.67328,1,with_qdisc
36,18.774673,4,with_qdisc
36,18.881858,3,with_qdisc
36,19.00816,2,with_qdisc
36,19.094672,5,with_qdisc
37,19.196169,1,with_qdisc
37,19.342339,4,with_qdisc
37,19.41006,3,with_qdisc
37,19.510968,2,with_qdisc
37,19.617473,5,with_qdisc
38,19.713893,1,with_qdisc
38,19.839923,4,with_qdisc
38,19.927512,3,with_qdisc
38,20.033618,2,with_qdisc
38,20.140917,5,with_qdisc
39,20.237442,1,with_qdisc
39,20.343497,4,with_qdisc
39,20.467648,3,with_qdisc
39,20.56106,2,with_qdisc
39,20.663387,5,with_qdisc
40,20.776833,1,with_qdisc
40,20.870576,4,with_qdisc
40,20.973251,3,with_qdisc
40,21.084086,2,with_qdisc
40,21.186463,5,with_qdisc
41,21.284167,1,with_qdisc
41,21.390258,4,with_qdisc
41,21.49642,3,with_qdisc
41,21.603157,2,with_qdisc
41,21.710487,5,with_qdisc
42,21.811667,1,with_qdisc
42,21.912675,4,with_qdisc
42,22.019252,3,with_qdisc
42,22.125989,2,with_qdisc
42,22.239151,5,with_qdisc
43,22.328905,1,with_qdisc
43,22.44368,4,with_qdisc
43,22.549478,3,with_qdisc
43,22.648674,2,with_qdisc
43,22.755557,5,with_qdisc
44,22.852088,1,with_qdisc
44,22.966317,4,with_qdisc
44,23.067069,3,with_qdisc
44,23.173817,2,with_qdisc
44,23.278162,5,with_qdisc
45,23.375377,1,with_qdisc
45,23.500613,4,with_qdisc
45,23.597701,3,with_qdisc
45,23.695945,2,with_qdisc
45,23.80809,5,with_qdisc
46,23.898716,1,with_qdisc
46,24.005557,4,with_qdisc
46,24.115156,3,with_qdisc
46,24.225255,2,with_qdisc
46,24.337333,5,with_qdisc
47,24.418861,1,with_qdisc
47,24.525852,4,with_qdisc
47,24.635349,3,with_qdisc
47,24.738359,2,with_qdisc
47,24.845028,5,with_qdisc
48,24.944375,1,with_qdisc
48,25.051002,4,with_qdisc
48,25.195967,3,with_qdisc
48,25.264583,2,with_qdisc
48,25.370225,5,with_qdisc
49,25.47031,1,with_qdisc
49,25.574504,4,with_qdisc
49,25.681142,3,with_qdisc
49,25.786912,2,with_qdisc
49,25.894522,5,with_qdisc
50,25.989486,1,with_qdisc
50,26.096279,4,with_qdisc
50,26.208006,3,with_qdisc
50,26.346577,2,with_qdisc
50,26.416254,5,with_qdisc
51,26.51307,1,with_qdisc
51,26.621886,4,with_qdisc
51,26.728262,3,with_qdisc
51,26.832629,2,with_qdisc
51,26.939178,5,with_qdisc
52,27.036536,1,with_qdisc
52,27.142818,4,with_qdisc
52,27.250364,3,with_qdisc
52,27.356878,2,with_qdisc
52,27.463357,5,with_qdisc
53,27.558619,1,with_qdisc
53,27.665237,4,with_qdisc
53,27.772783,3,with_qdisc
53,27.891044,2,with_qdisc
53,27.985891,5,with_qdisc
54,28.12569,1,with_qdisc
