duration_in_secs,handle,packets,bytes
173.456955,113:,1,1066
173.456955,111:,24,25584
173.456955,12:,500,533000
173.456955,121:,100,106600
173.456955,123:,100,106600
173.456955,112:,1,1066
173.456955,114:,4,224
173.456955,11:,29,26874
175.461819,1:,529,559874
175.461819,122:,100,106600
175.461819,124:,200,213200
175.461819,113:,1,1066
175.461819,111:,24,25584
175.461819,12:,500,533000
175.461819,121:,100,106600
175.461819,123:,100,106600
175.461819,112:,1,1066
175.461819,114:,4,224
175.461819,11:,29,26874
177.470391,1:,530,560940
177.470391,122:,100,106600
177.470391,124:,200,213200
177.470391,113:,1,1066
177.470391,111:,25,26650
177.470391,12:,500,533000
177.470391,121:,100,106600
177.470391,123:,100,106600
177.470391,112:,1,1066
177.470391,114:,4,224
177.470391,11:,30,27940
179.502316,1:,530,560940
179.502316,122:,100,106600
179.502316,124:,200,213200
179.502316,113:,1,1066
179.502316,111:,25,26650
179.502316,12:,500,533000
179.502316,121:,100,106600
179.502316,123:,100,106600
179.502316,112:,1,1066
179.502316,114:,4,224
179.502316,11:,30,27940
181.507073,1:,530,560940
181.507073,122:,100,106600
181.507073,124:,200,213200
181.507073,113:,1,1066
181.507073,111:,25,26650
181.507073,12:,500,533000
181.507073,121:,100,106600
181.507073,123:,100,106600
181.507073,112:,1,1066
181.507073,114:,4,224
181.507073,11:,30,27940
183.512396,1:,531,562006
183.512396,122:,100,106600
183.512396,124:,200,213200
183.512396,113:,1,1066
183.512396,111:,26,27716
183.512396,12:,500,533000
183.512396,121:,100,106600
183.512396,123:,100,106600
183.512396,112:,1,1066
183.512396,114:,4,224
183.512396,11:,31,29006
185.51817,1:,531,562006
185.51817,122:,100,106600
185.51817,124:,200,213200
185.51817,113:,1,1066
185.51817,111:,26,27716
185.51817,12:,500,533000
185.51817,121:,100,106600
185.51817,123:,100,106600
185.51817,112:,1,1066
185.51817,114:,4,224
185.51817,11:,31,29006
187.531185,1:,531,562006
187.531185,122:,100,106600
187.531185,124:,200,213200
187.531185,113:,1,1066
187.531185,111:,26,27716
187.531185,12:,500,533000
187.531185,121:,100,106600
187.531185,123:,100,106600
187.531185,112:,1,1066
187.531185,114:,4,224
187.531185,11:,31,29006
189.536463,1:,531,562006
189.536463,122:,100,106600
189.536463,124:,200,213200
189.536463,113:,1,1066
189.536463,111:,26,27716
189.536463,12:,500,533000
189.536463,121:,100,106600
189.536463,123:,100,106600
189.536463,112:,1,1066
189.536463,114:,4,224
189.536463,11:,31,29006
191.539914,1:,532,563072
191.539914,122:,100,106600
191.539914,124:,200,213200
191.539914,113:,1,1066
191.539914,111:,27,28782
191.539914,12:,500,533000
191.539914,121:,100,106600
191.539914,123:,100,106600
191.539914,112:,1,1066
191.539914,114:,4,224
191.539914,11:,32,30072
193.545972,1:,532,563072
193.545972,122:,100,106600
193.545972,124:,200,213200
193.545972,113:,1,1066
193.545972,111:,27,28782
193.545972,12:,500,533000
193.545972,121:,100,106600
193.545972,123:,100,106600
193.545972,112:,1,1066
193.545972,114:,4,224
193.545972,11:,32,30072
195.562902,1:,532,563072
195.562902,122:,100,106600
195.562902,124:,200,213200
195.562902,113:,1,1066
195.562902,111:,27,28782
195.562902,12:,500,533000
195.562902,121:,100,106600
195.562902,123:,100,106600
195.562902,112:,1,1066
195.562902,114:,4,224
195.562902,11:,32,30072
