duration_in_secs,handle,packets,bytes
169.502096,112:,1,1066
169.502096,114:,2,140
169.502096,11:,15,13998
171.526062,1:,291,308214
171.526062,122:,100,106600
171.526062,124:,31,33046
171.526062,113:,0,0
171.526062,111:,12,12792
171.526062,12:,276,294216
171.526062,121:,100,106600
171.526062,123:,46,49036
171.526062,112:,1,1066
171.526062,114:,2,140
171.526062,11:,15,13998
173.53355,1:,294,311412
173.53355,122:,100,106600
173.53355,124:,32,34112
173.53355,113:,0,0
173.53355,111:,12,12792
173.53355,12:,279,297414
173.53355,121:,100,106600
173.53355,123:,48,51168
173.53355,112:,1,1066
173.53355,114:,2,140
173.53355,11:,15,13998
175.56797,1:,298,315676
175.56797,122:,100,106600
175.56797,124:,34,36244
175.56797,113:,0,0
175.56797,111:,12,12792
175.56797,12:,283,301678
175.56797,121:,100,106600
175.56797,123:,50,53300
175.56797,112:,1,1066
175.56797,114:,2,140
175.56797,11:,15,13998
177.5737,1:,302,319940
177.5737,122:,100,106600
177.5737,124:,35,37310
177.5737,113:,0,0
177.5737,111:,12,12792
177.5737,12:,287,305942
177.5737,121:,100,106600
177.5737,123:,53,56498
177.5737,112:,1,1066
177.5737,114:,2,140
177.5737,11:,15,13998
179.579535,1:,306,324204
179.579535,122:,100,106600
179.579535,124:,37,39442
179.579535,113:,0,0
179.579535,111:,13,13858
179.579535,12:,290,309140
179.579535,121:,100,106600
179.579535,123:,54,57564
179.579535,112:,1,1066
179.579535,114:,2,140
179.579535,11:,16,15064
181.593928,1:,310,328468
181.593928,122:,100,106600
181.593928,124:,38,40508
181.593928,113:,0,0
181.593928,111:,13,13858
181.593928,12:,294,313404
181.593928,121:,100,106600
181.593928,123:,57,60762
181.593928,112:,1,1066
181.593928,114:,2,140
181.593928,11:,16,15064
183.615642,1:,313,331666
183.615642,122:,100,106600
183.615642,124:,39,41574
183.615642,113:,0,0
183.615642,111:,13,13858
183.615642,12:,297,316602
183.615642,121:,100,106600
183.615642,123:,59,62894
183.615642,112:,1,1066
183.615642,114:,2,140
183.615642,11:,16,15064
185.649461,1:,317,335930
185.649461,122:,100,106600
185.649461,124:,41,43706
185.649461,113:,0,0
185.649461,111:,13,13858
185.649461,12:,301,320866
185.649461,121:,100,106600
185.649461,123:,61,65026
185.649461,112:,1,1066
185.649461,114:,2,140
185.649461,11:,16,15064
187.662469,1:,320,339128
187.662469,122:,100,106600
187.662469,124:,42,44772
187.662469,113:,0,0
187.662469,111:,13,13858
187.662469,12:,304,324064
187.662469,121:,100,106600
187.662469,123:,63,67158
187.662469,112:,1,1066
187.662469,114:,2,140
187.662469,11:,16,15064
189.672552,1:,324,343392
189.672552,122:,100,106600
189.672552,124:,44,46904
189.672552,113:,0,0
189.672552,111:,13,13858
189.672552,12:,308,328328
189.672552,121:,100,106600
189.672552,123:,65,69290
189.672552,112:,1,1066
189.672552,114:,2,140
189.672552,11:,16,15064
191.697752,1:,327,346590
191.697752,122:,100,106600
191.697752,124:,45,47970
191.697752,113:,0,0
191.697752,111:,13,13858
191.697752,12:,311,331526
191.697752,121:,100,106600
191.697752,123:,67,71422
191.697752,112:,1,1066
191.697752,114:,2,140
191.697752,11:,16,15064
193.705542,1:,332,351920
193.705542,122:,100,106600
193.705542,124:,47,50102
193.705542,113:,0,0
193.705542,111:,14,14924
193.705542,12:,315,335790
193.705542,121:,100,106600
193.705542,123:,69,73554
193.705542,112:,1,1066
193.705542,114:,2,140
193.705542,11:,17,16130
195.72182,1:,335,355118
195.72182,122:,100,106600
195.72182,124:,48,51168
195.72182,113:,0,0
195.72182,111:,14,14924
195.72182,12:,318,338988
195.72182,121:,100,106600
195.72182,123:,71,75686
195.72182,112:,1,1066
195.72182,114:,2,140
195.72182,11:,17,16130
197.741135,1:,339,359382
197.741135,122:,100,106600
197.741135,124:,49,52234
197.741135,113:,0,0
197.741135,111:,14,14924
197.741135,12:,322,343252
197.741135,121:,100,106600
197.741135,123:,74,78884
197.741135,112:,1,1066
197.741135,114:,2,140
197.741135,11:,17,16130
199.76246,1:,343,363646
199.76246,122:,100,106600
199.76246,124:,51,54366
199.76246,113:,0,0
199.76246,111:,14,14924
199.76246,12:,326,347516
199.76246,121:,100,106600
199.76246,123:,76,81016
199.76246,112:,1,1066
199.76246,114:,2,140
199.76246,11:,17,16130
